slug,name,website,city,state,cuisine,source,discovered_at,analyzed_at,ugliness_score,qualified,low_confidence,skip_reason,layout,quirk,review,notes
chopsticks,Chopsticks,https://pos.chowbus.com/online-ordering/store/Chopsticks-Marlin/23537,Marlin,TX,Chinese Restaurant,google_places,2026-07-03T06:45:00Z,,,,,third_party_widget,,,,
cindy-s,Cindy's,https://www.facebook.com/CindysMTX,Marlin,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,facebook_only,,,,
circleville-store,Circleville Store,http://circleville-store.com/,Taylor,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
el-charro-mexican-restaurant-bar-and-grill,El Charro Mexican Restaurant Bar and Grill,https://cyrusramsey.com/places/el-charro-mexican-restaurant-bar-and-grill/,Marlin,TX,Mexican Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
el-charro-mexican-restaurant-bar-grill,El Charro Mexican Restaurant Bar & Grill,https://www.charroscameron.com/,Cameron,TX,Mexican Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
johnny-reb-s-dixie-cafe,Johnny Reb's Dixie Cafe,https://dixie-cafe.placeid.site/,Hearne,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,third_party_widget,,,,
jp-werner-cafe,J.P. Werner Cafe,https://www.jpwernercafetx.com/menu,Cameron,TX,American Breakfast,google_places,2026-07-03T06:45:00Z,2026-07-03T09:19:15.886Z,6,true,false,,magazine-split,Your menu item photos are all blurred placeholders with 'blur_2' in their URLs — visitors literally cannot see what your food looks like.,,
la-casa-de-la-tortuga,La Casa de la Tortuga,https://www.lacasadetortuga.com/,Rockdale,TX,Mexican Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
lakeview-drive-in,Lakeview Drive-In,https://www.facebook.com/LakeviewMarlin,Marlin,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,facebook_only,,,,
louie-mueller-barbecue,Louie Mueller Barbecue,https://www.texasbbq.com/,Taylor,TX,Barbecue Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
lucky-duck-caf,Lucky Duck Café,http://luckyduckcafe.com/,Taylor,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
maricela-s-bar-and-grill,Maricela's Bar and Grill,https://maricelasbarandgrilltx.com/,Rockdale,TX,Mexican Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
nola-scala,NOLA Scala,https://nolascala.com/,Taylor,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
penny-s-diner,Penny's Diner,https://www.pennysdiner.com/,Hearne,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
piano-bar-steak-house,Piano Bar & Steak House,http://www.toasttab.com/piano-bar-steak-house,Rockdale,TX,Steak House,google_places,2026-07-03T06:45:00Z,,,,,third_party_widget,,,,
plowman-s-kitchen,Plowman’s Kitchen,https://plowmanskitchen.com/,Taylor,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
pony-express-bar-grill,Pony Express Bar & Grill,https://www.facebook.com/profile.php?id=61564426164747&mibextid=ZbWKwL,Hearne,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,facebook_only,,,,
raise-the-roost,Raise the Roost,https://raisetheroostchicken.com/locations/42205?utm_source=G&utm_medium=local&utm_campaign=google-local,Hearne,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
red-s-corner,Red's Corner,https://www.facebook.com/redscornerrockdale,Rockdale,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,facebook_only,,,,
second-street-station,Second Street Station,https://secondstreetstationtaylor.com/,Taylor,TX,Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
t-l-pronto,T&L Pronto,https://www.tandlpronto.com/,Taylor,TX,Italian Restaurant,google_places,2026-07-03T06:45:00Z,,,,,,,,,
texan-cafe-pie-shop-taylor,Texan Cafe & Pie Shop (Taylor),https://www.thetexancafe.com/,Taylor,TX,Cafe,google_places,2026-07-03T06:45:00Z,,,,,,,,,
wagon-rib-wing-drive-thru,Wagon Rib & Wing Drive Thru,http://wagon-thru.edan.io/,Marlin,TX,Chicken Wings Restaurant,google_places,2026-07-03T06:45:00Z,,,,,third_party_widget,,,,
wings-n-thangs,Wings N Thangs,http://www.facebook.com/wingsnthangsht,Hearne,TX,American Restaurant,google_places,2026-07-03T06:45:00Z,,,,,facebook_only,,,,
mikeska-bbq,Rudy Mikeska's Bar-B-Q,http://www.mikeska.com/whatsCookinContent.html,Taylor,TX,Texas BBQ,prior_session,2026-07-02T21:00:00Z,2026-07-03T09:19:46.345Z,9,true,false,,magazine-split,Your page title tag is completely empty — search engines and browser tabs have no idea what your restaurant is called.,,"1999-era static frameset site; 92 items / 16 sections extracted correctly, no hallucination"
grannys-tacos,Granny's Tacos,https://grannystacosatx.square.site/s/order,Austin,TX,Tacos,prior_session,2026-07-03T03:59:00Z,2026-07-03T09:20:20.516Z,6,true,false,,magazine-split,Your 'Delivery Today: 9:00 AM - 9:10 AM' header shows a bizarre 10-minute delivery window that makes no practical sense.,,JS-rendered Square order page; 33 items / 11 sections extracted correctly after fixing the near-empty-content hallucination bug
